,,-0.0001754096854,0.05021499183,,-0.03192297948,0.06775858999,-0.07530604744,0.06716411791,-0.07461356778,0.0677962395,-0.07406868859,0.0680522377,-0.03093137019,0.02790557314,-0.03118700918,0.02783185172,-0.03139717425,0.02843449296,0.02715087051,-0.03177308778,-0.03147332591,0.02763130502,-0.03094882512,0.06671804948,-0.07491718148,0.0672160434,0.02790045646,-0.03023555796,-0.03103720703,0.02783306983,-0.03151022691,0.06729821053,-0.07475224083,0.06718647406,-0.07499061356,0.0673898535,-0.03204387294,0.02783619732,-0.07473028534,0.06918952669,-0.03190564669,0.02925910849,-0.0304120794,0.02877518112,-0.03090395465,-0.02965823838,0.06839865718,-0.07411333016,0.02953375814,0.02967425573,-0.0296564089,0.02895394836,-0.02952303202,0.06861413781,-0.0726474401,0.06905373625,-0.0727703315,0.06965401616,-0.02937214697,0.03036159601,-0.0300395912,0.02941650799,-0.0299630454,-0.02995109373,0.02900518565,-0.03111304824,0.06903408629,-0.07406678621,0.06917990242,-0.07452286013,0.06836892779,-0.07352393861,0.06894171988,-0.02952928773,0.02926951112,-0.07258900217,0.06896056415,-0.02939200717,0.02922798395,-0.03001594973,-0.03040201206,0.06859137348,-0.07291837694,0.02907926957,-0.03003508997,0.06940272518,-0.07291309571,0.06918555972,-0.07277407733,0.06769714025,,,,,,,,,,,,,,,,,
"gaussian","nw",,,,191363,206234,206215,191420,206197,206209,206093,191417,206155,176773,206132,191388,206202,191475,206143,206182,191474,206121,206118,191372,191371,191332,206144,191388,206171,206205,191429,206210,206109,191513,206151,191409,191690,206142,191399,191421,206092,206134,206127,191450,206153,206079,176720,206094,191381,206103,191333,206315,191415,206098,206124,206101,191466,191403,206106,191402,206152,191375,191416,206105,206114,191441,206015,206123,206104,176702,206120,191506,191394,206172,206099,191550,206110,206147,191481,206186,191467,206637,192634,192533,192697,207413,207426,192576,207373,,,,,,,,,,,,,,,,,,
,,,,,201984,201945,168345,202046,202030,202043,201948,202051,201928,201984,201911,202023,201927,202057,168259,201979,201934,201975,202071,202000,201983,201969,201876,202007,201987,168263,202012,201899,202019,201934,201990,201887,201993,201942,202016,201797,201870,168159,201817,201973,201939,201998,201912,201950,201949,201941,201989,168320,235558,168294,201916,201993,201907,202025,201901,202025,201882,202026,201941,168266,201953,202007,201931,201954,201914,201948,201942,201994,201968,201987,168356,201859,202012,201860,201935,201928,202143,202078,202096,202094,202293,202137,168498,203793,203963,,,,,,,,,,,,,,,,,,
,,0.00126324859,0.0428552135,,-0.02700160418,0.01050764493,0.1011052969,-0.02700614538,0.01020755609,0.01020448155,0.01015829292,-0.02702634013,0.01035818694,-0.06656246617,0.01034449801,-0.02703279776,0.01047462935,-0.0268898082,0.1011853569,0.01029740715,-0.02658817309,0.01015937426,0.009914524889,-0.02701768301,-0.02697824352,-0.02704544357,0.01046027156,-0.02699322564,0.01025093224,0.1013224094,-0.02689856929,0.0105633544,0.01002136585,-0.02648641367,0.01019500614,-0.02664151174,-0.0261708024,0.01029199871,-0.0269867697,-0.02638739834,0.01034900309,0.1014579487,0.01056517561,-0.02674729235,0.01032610294,0.01000056362,-0.06653426018,0.01015576752,-0.02686802431,0.01019988041,-0.02709230605,0.1014187142,-0.1033859284,0.1009743798,0.01031271444,0.01006630825,-0.02654223854,-0.02699858678,0.01030619573,-0.02700119717,0.01046481421,-0.02707415589,-0.02675686463,0.101073534,0.01019685493,-0.02685488298,0.01001112892,0.0102162092,0.01026915479,-0.06667370923,0.01023864021,-0.02665311309,-0.02688109172,0.01025335715,0.100794488,-0.02620428104,0.01004111516,0.01050717267,-0.0265723814,0.01043335931,-0.02712329463,0.01115447194,-0.02397081549,-0.02422794183,-0.02429428593,0.01288243194,0.1035528458,-0.02829938769,0.008290059708,,,,,,,,,,,,,,,,,,
"gaussian","pathfinder",,,,235314,191216,250063,205889,206063,235383,220619,206009,249961,191197,235328,220620,206000,249924,191182,264671,191107,264650,205865,205904,235246,205849,205838,235188,205830,205881,249865,207122,251561,207154,207158,251583,192628,221941,236741,192371,236740,236663,192365,222005,236811,192364,266295,192401,222012,236694,207126,222209,236725,192353,236795,221971,207162,251454,192407,221999,236629,207098,207264,251499,192384,222029,236703,207067,236714,221856,222113,236786,192388,236707,222048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,195863,261080,195869,195829,261086,195805,195855,261144,195886,261148,195921,195893,261219,195856,261162,195942,261168,195828,195772,261010,195861,195846,261121,195811,195890,261144,195927,262243,196955,196905,262609,196942,196960,262566,196907,196911,262590,196985,197000,262596,196922,262630,196964,196967,262606,196989,196972,262626,196978,262643,196984,196931,262585,197021,197025,262772,196981,197017,262678,197027,197019,262653,196972,262721,197006,196999,262627,196991,262665,196986,196987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.002265202523,0.1015170696,,0.09149606774,-0.1544652175,0.12152974,0.02504244271,-0.1177846897,0.09178826869,0.05946109481,-0.1180234313,0.1212860017,-0.1546408162,0.09137876262,0.05936669444,-0.1181865464,0.121288528,-0.1547052686,0.1492120283,-0.1549079653,0.1494577374,0.02512965688,-0.1180217342,0.09135782996,0.02490197787,-0.1183894089,0.09136216093,0.02474360251,-0.1183298539,0.1209936473,-0.1174373888,0.1217481651,0.02536510757,-0.1180393685,0.1218237556,-0.011119439,-0.08384811778,0.09185791241,-0.0116624966,-0.05176937096,0.09149817363,-0.01190399753,-0.08376169261,0.09196671685,-0.1544328057,0.1496592619,-0.01172669557,-0.08376494476,0.09155304681,0.02512756807,-0.08336238102,0.09164566535,-0.1544848746,0.09177714919,0.05977531738,-0.1179847876,0.1213735437,-0.01185829619,-0.08410775397,0.0914370056,0.02494586937,-0.1179166791,0.1214466943,-0.01190283588,-0.08381578024,0.09161468842,-0.1184662018,0.09155215346,0.05934511943,-0.08357882576,0.09174068704,-0.1544369557,0.09158782826,0.05980646008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"heartwall","heartwall",,,,219395,279101,209325,209386,279099,209952,279127,208823,209457,279126,209254,209895,279067,208738,279064,209541,209327,279095,209885,209284,280163,210109,280045,209952,210650,280116,209614,280110,210195,210016,280112,210600,209452,280017,210156,280110,210020,210663,280140,209477,210214,280286,210003,280208,210764,209536,280106,210164,210061,280172,210610,280122,209582,210224,280230,210016,210787,280206,209669,280248,210221,209931,280029,210776,280081,209451,210168,280154,210014,210703,280047,209510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,221281,209271,279091,209283,210011,279139,208747,209440,279155,209245,279121,209860,208718,279060,209422,209218,279228,209921,279145,209722,210136,280059,209946,280062,210677,209435,280211,210219,209972,280261,210635,279957,209303,210074,280056,210016,210797,280162,209458,280074,210182,210107,280234,210750,209473,280083,210204,280163,210001,210679,280009,209441,210285,280171,210109,280107,210725,209580,280320,210286,280117,209965,210495,280092,209486,210109,280126,210052,280187,210584,209434,280062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-5.77708406E-05,0.1240904646,,-0.004279788325,0.1429852653,-0.1428413484,0.0002460177372,0.141252479,-0.1414603826,0.1442585586,-0.001475148411,-0.1426448798,0.1430899869,-0.1430601485,8.338197282E-05,0.144221327,-0.1441621327,0.1425670337,0.0007713267058,-0.1430770333,0.1414554943,-0.141627303,-0.001045331093,0.1428250924,-0.1427061742,0.1430618113,-0.1430775447,-6.408324176E-05,0.1443792373,-0.1441269841,0.1425389891,0.0005307413481,-0.143276148,0.1415739678,-0.1413841817,0.000355816647,0.1427143122,-0.1425913686,0.143012205,-0.001846408296,-0.141596292,0.1443674198,-0.1442076515,7.611870712E-05,0.1431076708,-0.1432592807,0.1414744235,0.003072075995,-0.1440855032,0.1425669474,-0.1427598317,0.0001428360575,0.141576568,-0.1414519209,0.1443756983,-0.001674339731,-0.1426339991,0.1430051454,-0.1430069595,0.0001470895253,0.14419767,-0.1441889512,0.1426241606,-0.1425465699,-8.097243127E-05,0.1417545319,-0.1412110791,0.1441988533,-0.001568309658,-0.1426858171,0.1430051856,-0.1431514828,0.0002824677714,0.1442609621,-0.1441095487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
